date,route,fare_class,tickets_sold,price,revenue
2024-01-01,DEL-BOM,Economy,122,3860,470920
2024-01-01,DEL-BOM,Premium,40,8169,326760
2024-01-01,DEL-BOM,Business,94,18322,1722268
2024-01-01,DEL-BLR,Economy,169,3769,636961
2024-01-01,DEL-BLR,Premium,149,6955,1036295
2024-01-01,DEL-BLR,Business,180,16396,2951280
2024-01-01,BOM-BLR,Economy,108,3474,375192
2024-01-01,BOM-BLR,Premium,189,9547,1804383
2024-01-01,BOM-BLR,Business,34,12734,432956
2024-01-01,DEL-HYD,Economy,70,4899,342930
2024-01-01,DEL-HYD,Premium,83,9202,763766
2024-01-01,DEL-HYD,Business,70,15393,1077510
2024-01-01,BLR-HYD,Economy,151,3600,543600
2024-01-01,BLR-HYD,Premium,28,8945,250460
2024-01-01,BLR-HYD,Business,111,19670,2183370
2024-01-02,DEL-BOM,Economy,191,5556,1061196
2024-01-02,DEL-BOM,Premium,100,7585,758500
2024-01-02,DEL-BOM,Business,151,13843,2090293
2024-01-02,DEL-BLR,Economy,73,4500,328500
2024-01-02,DEL-BLR,Premium,63,6201,390663
2024-01-02,DEL-BLR,Business,33,17629,581757
2024-01-02,BOM-BLR,Economy,59,5767,340253
2024-01-02,BOM-BLR,Premium,130,6791,882830
2024-01-02,BOM-BLR,Business,143,15276,2184468
2024-01-02,DEL-HYD,Economy,34,3064,104176
2024-01-02,DEL-HYD,Premium,28,7152,200256
2024-01-02,DEL-HYD,Business,155,15258,2364990
2024-01-02,BLR-HYD,Economy,100,3391,339100
2024-01-02,BLR-HYD,Premium,60,6200,372000
2024-01-02,BLR-HYD,Business,67,18996,1272732
2024-01-03,DEL-BOM,Economy,118,5731,676258
2024-01-03,DEL-BOM,Premium,54,9810,529740
2024-01-03,DEL-BOM,Business,150,10502,1575300
2024-01-03,DEL-BLR,Economy,161,3870,623070
2024-01-03,DEL-BLR,Premium,34,9625,327250
2024-01-03,DEL-BLR,Business,198,17408,3446784
2024-01-03,BOM-BLR,Economy,71,4020,285420
2024-01-03,BOM-BLR,Premium,170,8796,1495320
2024-01-03,BOM-BLR,Business,190,16668,3166920
2024-01-03,DEL-HYD,Economy,179,4722,845238
2024-01-03,DEL-HYD,Premium,47,8729,410263
2024-01-03,DEL-HYD,Business,153,13627,2084931
2024-01-03,BLR-HYD,Economy,103,4981,513043
2024-01-03,BLR-HYD,Premium,111,9302,1032522
2024-01-03,BLR-HYD,Business,148,16776,2482848
2024-01-04,DEL-BOM,Economy,135,3972,536220
2024-01-04,DEL-BOM,Premium,122,7479,912438
2024-01-04,DEL-BOM,Business,156,10663,1663428
2024-01-04,DEL-BLR,Economy,78,4631,361218
2024-01-04,DEL-BLR,Premium,199,7853,1562747
2024-01-04,DEL-BLR,Business,71,17554,1246334
2024-01-04,BOM-BLR,Economy,132,4636,611952
2024-01-04,BOM-BLR,Premium,132,6641,876612
2024-01-04,BOM-BLR,Business,148,15172,2245456
2024-01-04,DEL-HYD,Economy,191,5777,1103407
2024-01-04,DEL-HYD,Premium,179,6835,1223465
2024-01-04,DEL-HYD,Business,142,14389,2043238
2024-01-04,BLR-HYD,Economy,43,5931,255033
2024-01-04,BLR-HYD,Premium,158,8191,1294178
2024-01-04,BLR-HYD,Business,143,12511,1789073
2024-01-05,DEL-BOM,Economy,112,4794,536928
2024-01-05,DEL-BOM,Premium,183,7369,1348527
2024-01-05,DEL-BOM,Business,166,11843,1965938
