date,route,expected_demand
2024-01-01,BLR-HYD,290
2024-01-01,BOM-BLR,331
2024-01-01,DEL-BLR,498
2024-01-01,DEL-BOM,256
2024-01-01,DEL-HYD,223
2024-01-02,BLR-HYD,227
2024-01-02,BOM-BLR,332
2024-01-02,DEL-BLR,169
2024-01-02,DEL-BOM,442
2024-01-02,DEL-HYD,217
2024-01-03,BLR-HYD,362
2024-01-03,BOM-BLR,431
2024-01-03,DEL-BLR,393
2024-01-03,DEL-BOM,322
2024-01-03,DEL-HYD,379
2024-01-04,BLR-HYD,344
2024-01-04,BOM-BLR,412
2024-01-04,DEL-BLR,348
2024-01-04,DEL-BOM,413
2024-01-04,DEL-HYD,512
2024-01-05,BLR-HYD,453
2024-01-05,BOM-BLR,318
2024-01-05,DEL-BLR,478
2024-01-05,DEL-BOM,461
2024-01-05,DEL-HYD,324
2024-01-06,BLR-HYD,226
2024-01-06,BOM-BLR,381
2024-01-06,DEL-BLR,472
2024-01-06,DEL-BOM,461
2024-01-06,DEL-HYD,242
2024-01-07,BLR-HYD,216
2024-01-07,BOM-BLR,402
2024-01-07,DEL-BLR,352
2024-01-07,DEL-BOM,340
2024-01-07,DEL-HYD,337
2024-01-08,BLR-HYD,381
2024-01-08,BOM-BLR,325
2024-01-08,DEL-BLR,336
2024-01-08,DEL-BOM,264
2024-01-08,DEL-HYD,416
2024-01-09,BLR-HYD,306
2024-01-09,BOM-BLR,276
2024-01-09,DEL-BLR,288
2024-01-09,DEL-BOM,361
2024-01-09,DEL-HYD,337
2024-01-10,BLR-HYD,311
2024-01-10,BOM-BLR,350
2024-01-10,DEL-BLR,387
2024-01-10,DEL-BOM,344
2024-01-10,DEL-HYD,494
2024-01-11,BLR-HYD,409
2024-01-11,BOM-BLR,363
2024-01-11,DEL-BLR,361
2024-01-11,DEL-BOM,251
2024-01-11,DEL-HYD,243
2024-01-12,BLR-HYD,271
2024-01-12,BOM-BLR,362
2024-01-12,DEL-BLR,275
2024-01-12,DEL-BOM,331
2024-01-12,DEL-HYD,394
2024-01-13,BLR-HYD,330
2024-01-13,BOM-BLR,493
2024-01-13,DEL-BLR,250
2024-01-13,DEL-BOM,174
2024-01-13,DEL-HYD,269
2024-01-14,BLR-HYD,357
