Actual,Predicted
408,355.83
386,359.67
440,384.53
307,308.75
266,316.91
305,354.66
275,295.73
192,308.79
419,352.2
256,304.34
301,335.03
387,360.83
200,284.55
371,343.58
260,379.05
361,350.09
84,313.13
283,338.72
291,345.41
352,298.76
491,344.92
350,230.48
393,295.25
410,295.3
384,382.65
135,370.59
522,330.6
148,313.68
257,343.81
361,332.07
355,323.82
330,355.96
242,395.01
120,365.57
290,277.32
346,365.31
216,389.93
296,328.99
115,316.31
344,321.65
339,313.75
339,352.46
484,314.4
411,350.56
218,291.24
302,315.24
315,429.31
398,339.3
168,337.23
299,330.46
351,379.29
165,350.34
204,327.94
293,321.88
400,278.83
209,364.76
256,344.38
208,343.1
357,338.46
525,315.94
250,375.83
300,344.77
159,303.39
438,356.5
382,264.88
428,344.23
273,281.36
338,413.87
410,244.05
454,325.14
423,307.72
383,280.99
564,344.08
297,273.96
447,329.65
426,358.65
417,373.62
430,341.07
333,327.25
308,322.08
327,338.56
258,386.7
378,306.31
390,409.11
375,299.02
144,343.66
330,388.19
478,276.18
291,401.69
354,277.53
377,348.63
262,352.77
183,322.77
220,276.67
371,362.05
345,395.43
442,321.9
178,305.38
220,381.46
408,307.38
459,325.9
319,390.41
398,401.15
297,350.28
304,272.43
235,266.06
267,312.2
412,334.56
260,358.45
461,407.04
258,379.06
515,271.43
383,271.62
391,402.75
337,295.86
250,273.15
407,346.47
271,321.05
147,373.36
260,243.67
348,296.36
252,332.77
374,342.84
208,303.6
262,311.2
204,390.41
421,300.46
309,317.91
400,335.44
258,348.63
252,281.53
258,332.24
422,366.43
369,337.09
219,328.98
211,398.37
128,324.32
374,344.78
406,265.26
406,306.11
324,344.86
443,326.39
481,342.18
351,336.68
376,311.24
277,326.79
312,356.1
329,287.0
206,284.16
413,347.5
244,334.72
221,324.86
488,279.69
300,366.66
412,314.39
411,352.01
304,362.42
304,363.15
407,238.66
541,354.98
494,315.74
511,323.06
304,377.14
502,241.03
227,329.79
386,336.53
370,291.72
202,344.54
365,333.66
149,189.98
337,278.89
385,341.48
298,249.0
388,324.61
193,291.65
348,350.78
236,343.02
255,292.01
352,305.12
269,455.55
475,312.25
168,348.69
124,329.45
415,289.89
359,393.64
430,366.18
272,367.36
188,274.5
363,378.18
348,329.14
399,299.5
330,348.5
302,346.75
371,294.35
275,339.09
261,311.59
359,369.89
255,343.28
128,269.86
250,270.49
337,317.88
380,342.26
430,351.83
240,339.56
129,366.55
249,309.82
216,328.05
272,307.43
257,398.98
240,335.98
351,374.82
193,298.84
348,347.24
252,331.18
387,347.69
340,405.84
226,322.65
498,340.84
264,339.88
381,348.73
325,355.14
393,370.8
343,390.03
212,317.43
380,323.45
210,346.32
480,272.06
371,365.45
381,397.73
401,314.74
404,345.76
303,315.7
456,379.96
352,371.31
293,319.6
311,281.79
477,357.14
444,311.12
359,426.07
244,318.8
313,310.09
254,378.02
197,288.83
409,291.7
327,291.24
321,296.05
337,343.83
413,238.37
274,337.26
331,433.07
464,341.84
266,346.9
328,370.07
442,338.91
179,318.91
394,290.39
276,294.55
302,276.81
288,340.69
253,362.7
409,276.44
319,317.17
257,256.91
294,330.96
219,292.57
342,344.6
390,334.39
391,346.8
442,296.64
398,263.15
395,408.78
311,364.52
260,272.66
406,324.88
496,300.04
305,335.19
320,300.55
334,391.11
347,311.36
371,346.77
384,351.56
441,353.87
485,347.83
310,295.46
244,308.8
328,350.46
341,343.22
304,296.88
296,412.12
353,282.72
367,417.07
261,292.61
137,294.03
229,380.39
181,353.46
390,367.75
194,310.21
495,383.1
333,326.57
468,297.94
262,398.96
342,250.92
291,382.42
410,311.72
237,388.28
414,294.22
196,326.19
363,337.47
242,345.17
397,381.69
363,367.94
243,329.24
365,312.63
239,347.99
198,278.06
262,368.72
178,320.23
360,345.24
376,379.27
487,323.75
284,314.02
435,343.26
198,369.37
304,319.45
234,345.74
255,338.88
334,259.11
358,368.07
297,354.85
372,293.63
406,366.14
244,289.99
311,337.91
312,311.92
358,340.45
200,379.68
302,260.84
110,363.87
324,303.94
401,349.32
265,311.58
334,390.18
151,332.83
285,345.66
204,330.88
240,308.06
364,274.24
315,297.42
159,328.03
236,305.06
395,310.58
374,323.92
263,405.16
114,351.09
280,362.39
369,305.25
260,320.45
306,335.92
218,348.11
346,279.68
295,398.96
356,311.09
345,378.83
362,334.93
317,292.17
