route,fare_class,price
DEL-BOM,Economy,3860
DEL-BOM,Premium,8169
DEL-BOM,Business,18322
DEL-BLR,Economy,3769
DEL-BLR,Premium,6955
DEL-BLR,Business,16396
BOM-BLR,Economy,3474
BOM-BLR,Premium,9547
BOM-BLR,Business,12734
DEL-HYD,Economy,4899
DEL-HYD,Premium,9202
DEL-HYD,Business,15393
BLR-HYD,Economy,3600
BLR-HYD,Premium,8945
BLR-HYD,Business,19670
DEL-BOM,Economy,5556
DEL-BOM,Premium,7585
DEL-BOM,Business,13843
DEL-BLR,Economy,4500
DEL-BLR,Premium,6201
DEL-BLR,Business,17629
BOM-BLR,Economy,5767
BOM-BLR,Premium,6791
BOM-BLR,Business,15276
DEL-HYD,Economy,3064
DEL-HYD,Premium,7152
DEL-HYD,Business,15258
BLR-HYD,Economy,3391
BLR-HYD,Premium,6200
BLR-HYD,Business,18996
DEL-BOM,Economy,5731
DEL-BOM,Premium,9810
DEL-BOM,Business,10502
DEL-BLR,Economy,3870
DEL-BLR,Premium,9625
DEL-BLR,Business,17408
BOM-BLR,Economy,4020
BOM-BLR,Premium,8796
BOM-BLR,Business,16668
DEL-HYD,Economy,4722
DEL-HYD,Premium,8729
DEL-HYD,Business,13627
BLR-HYD,Economy,4981
BLR-HYD,Premium,9302
BLR-HYD,Business,16776
DEL-BOM,Economy,3972
DEL-BOM,Premium,7479
DEL-BOM,Business,10663
DEL-BLR,Economy,4631
DEL-BLR,Premium,7853
DEL-BLR,Business,17554
BOM-BLR,Economy,4636
BOM-BLR,Premium,6641
BOM-BLR,Business,15172
DEL-HYD,Economy,5777
DEL-HYD,Premium,6835
DEL-HYD,Business,14389
BLR-HYD,Economy,5931
BLR-HYD,Premium,8191
BLR-HYD,Business,12511
DEL-BOM,Economy,4794
DEL-BOM,Premium,7369
DEL-BOM,Business,11843
DEL-BLR,Economy,4959
DEL-BLR,Premium,6640
DEL-BLR,Business,14061
BOM-BLR,Economy,4634
BOM-BLR,Premium,7016
BOM-BLR,Business,14548
DEL-HYD,Economy,4183
DEL-HYD,Premium,8863
DEL-HYD,Business,16197
BLR-HYD,Economy,4696
BLR-HYD,Premium,6103
BLR-HYD,Business,10098
DEL-BOM,Economy,4884
DEL-BOM,Premium,9234
DEL-BOM,Business,16944
DEL-BLR,Economy,4300
DEL-BLR,Premium,7158
DEL-BLR,Business,14555
BOM-BLR,Economy,3469
BOM-BLR,Premium,8277
BOM-BLR,Business,13354
DEL-HYD,Economy,3225
DEL-HYD,Premium,8926
DEL-HYD,Business,17683
BLR-HYD,Economy,4215
BLR-HYD,Premium,8205
BLR-HYD,Business,11060
DEL-BOM,Economy,5544
DEL-BOM,Premium,6992
DEL-BOM,Business,13327
DEL-BLR,Economy,3127
DEL-BLR,Premium,7346
DEL-BLR,Business,14014
BOM-BLR,Economy,4686
BOM-BLR,Premium,7409
BOM-BLR,Business,17206
DEL-HYD,Economy,5806
DEL-HYD,Premium,8455
DEL-HYD,Business,17992
BLR-HYD,Economy,3684
BLR-HYD,Premium,6399
BLR-HYD,Business,15919
DEL-BOM,Economy,3050
DEL-BOM,Premium,8197
DEL-BOM,Business,14777
DEL-BLR,Economy,4077
DEL-BLR,Premium,9124
DEL-BLR,Business,15315
BOM-BLR,Economy,3876
BOM-BLR,Premium,8914
BOM-BLR,Business,14465
DEL-HYD,Economy,4129
DEL-HYD,Premium,6830
DEL-HYD,Business,18308
BLR-HYD,Economy,5838
BLR-HYD,Premium,7664
BLR-HYD,Business,17805
DEL-BOM,Economy,3559
DEL-BOM,Premium,9343
DEL-BOM,Business,18130
DEL-BLR,Economy,3153
DEL-BLR,Premium,9356
DEL-BLR,Business,16617
BOM-BLR,Economy,5388
BOM-BLR,Premium,6356
BOM-BLR,Business,12849
DEL-HYD,Economy,5809
DEL-HYD,Premium,7015
DEL-HYD,Business,15878
BLR-HYD,Economy,3496
BLR-HYD,Premium,7931
BLR-HYD,Business,14000
DEL-BOM,Economy,4636
DEL-BOM,Premium,7191
DEL-BOM,Business,14107
DEL-BLR,Economy,5546
DEL-BLR,Premium,6775
DEL-BLR,Business,10417
BOM-BLR,Economy,3616
BOM-BLR,Premium,7516
BOM-BLR,Business,17164
DEL-HYD,Economy,4892
DEL-HYD,Premium,7571
DEL-HYD,Business,17357
BLR-HYD,Economy,4548
BLR-HYD,Premium,7296
BLR-HYD,Business,14492
DEL-BOM,Economy,5224
DEL-BOM,Premium,6264
DEL-BOM,Business,14946
DEL-BLR,Economy,3143
DEL-BLR,Premium,8938
DEL-BLR,Business,11062
BOM-BLR,Economy,4065
BOM-BLR,Premium,9234
BOM-BLR,Business,16731
DEL-HYD,Economy,3953
DEL-HYD,Premium,7676
DEL-HYD,Business,16938
BLR-HYD,Economy,4217
BLR-HYD,Premium,8386
BLR-HYD,Business,19872
DEL-BOM,Economy,3216
DEL-BOM,Premium,8492
DEL-BOM,Business,15977
DEL-BLR,Economy,3038
DEL-BLR,Premium,7243
DEL-BLR,Business,18647
BOM-BLR,Economy,3894
BOM-BLR,Premium,8395
BOM-BLR,Business,15029
DEL-HYD,Economy,3133
DEL-HYD,Premium,8220
DEL-HYD,Business,15348
BLR-HYD,Economy,4250
BLR-HYD,Premium,7166
BLR-HYD,Business,18053
DEL-BOM,Economy,5703
DEL-BOM,Premium,8783
DEL-BOM,Business,19337
DEL-BLR,Economy,5723
DEL-BLR,Premium,8779
DEL-BLR,Business,16042
BOM-BLR,Economy,4224
BOM-BLR,Premium,7581
BOM-BLR,Business,10255
DEL-HYD,Economy,4944
DEL-HYD,Premium,9313
DEL-HYD,Business,11015
BLR-HYD,Economy,3373
